type_structure,nom,code_postal,ville,adresse,email,site_web,siret,telephone
Centre social,LES PLANETES MAISONS ALFORT,94700,Maisons-Alfort,LES PLANETES MAISONS ALFORT 149 rue Marc Sangnier 94700 Maisons-Alfort,omc.planetes2@wanadoo.fr,http://omc-maisons-alfort.asso.fr,31459209800029,
Centre social,CENTRE SOCIAL Espace 19 Cambrai,75019,Paris 19e Arrondissement,CENTRE SOCIAL Espace 19 Cambrai 28 rue Bernard Tétu 75019 Paris 19e Arrondissement,espacecambrai@espace19.org,www.espace19.org,32228389600041,0140361578
Centre social,CENTRE SOCIAL CAP SOLIDARITE,77127,Lieusaint,CENTRE SOCIAL CAP SOLIDARITE 43 rue de Paris 77127 Lieusaint,contact@ville-lieusaint.fr,http://www.ville-lieusaint.fr/,217.702.513.000 11,0164135555
Centre social,CENTRE SOCIAL LA COLLINE,94430,Chennevières-sur-Marne,CENTRE SOCIAL LA COLLINE 13 rue Rabelais 94430 Chennevières-sur-Marne,cmlacolline@chennevieres.fr,http://www.chennevieres.com,219 400 199 00 184,
Centre social,ESPACE FONTAINES,95130,Franconville,ESPACE FONTAINES 5 allée du lavoir 95130 Franconville,mc.gallet@ville-franconville.fr,http://villedefranconville.fr,21950252300018,
Centre social,CENTRE SOCIAL DES EPINETTES,75017,Paris 17e Arrondissement,CENTRE SOCIAL DES EPINETTES 102 rue de la Jonquière 75017 Paris 17e Arrondissement,direction@cefia.org,http://www.cefia.org,3999069600037,0142632375
Centre social,Les ÉPINETTES (CSC),93220,Gagny,Les ÉPINETTES (CSC) 19 allée des Épinettes 93220 Gagny,csclesepinettes@orange.fr,http://www.cscdesepinettes.fr,37885559700035,0961466405
Centre social,CENTRE SOCIAL ASSOCIATIF MAISON DE QUARTIER DES CHAMPS ELYSEES,91000,Évry-Courcouronnes,CENTRE SOCIAL ASSOCIATIF MAISON DE QUARTIER DES CHAMPS ELYSEES place troisdorf 91000 Évry-Courcouronnes,directionchampselysees@orange.fr,,326 316 536 000 19,
Centre social,CENTRE SOCIAL DES GRANDES BORNES,95190,Goussainville,CENTRE SOCIAL DES GRANDES BORNES 1 rue Malcolm X 95190 Goussainville,polegestion.empreinte95@gmail.com,http://0139888088,33029464600030,
Centre social,ARCHIPELIA,75020,Paris 20e Arrondissement,ARCHIPELIA 17 rue des Envierges 75020 Paris 20e Arrondissement,info@archipelia.org,http://www.archipelia.org,43300654100026,0147970296
Centre social,CENTRE SOCIAL MAISON DE LA CHALLE,95610,Éragny,CENTRE SOCIAL MAISON DE LA CHALLE place de la challe 95610 Éragny,cfranceries@eragny.fr,http://www.eragny.fr,21950218400019,0134483500
Centre social,Centre Socioculturel  LES PORTES DU MIDI  - VITRY,94400,Vitry-sur-Seine,"Centre Socioculturel ""LES PORTES DU MIDI"" - VITRY 13 rue Constant Coquelin 94400 Vitry-sur-Seine",tariq@csportesdumidi.fr,,439 860 388  000 24,
Centre social,CLARA ZETKIN (CSC),93430,Villetaneuse,CLARA ZETKIN (CSC) 1 avenue Jean Jaures 93430 Villetaneuse,centre.socioculturel@mairie-villetaneuse.fr,http://www.mairie-villetaneuse.fr,21930079500123,0185573900
Centre social,MJC CLUB DE CRETEIL  CROIX DES MECHES,94000,Créteil,MJC CLUB DE CRETEIL  CROIX DES MECHES 3 Rue charpy 94000 Créteil,fsamira@clubdecreteil.asso.fr,http://www.mjcclub.com,304 863 962 00011,0148997540
Centre social,ROUGEMONT (MQ),93270,Sevran,ROUGEMONT (MQ) 8 quinquiès rue Pierre Brossolette 93270 Sevran,gdemontis@ville-sevran.fr,http://www.ville-sevran.fr,219 300 712 00524,0149365200
Centre social,CENTRE SOCIAL DES HAUTS-DE-CERGY,95800,Cergy,CENTRE SOCIAL DES HAUTS-DE-CERGY 10 place du Nautilus 95800 Cergy,malika.guingand@cergy.fr,,21950127700897,
Centre social,MQ CLAGNY GLATIGNY,78000,Versailles,MQ CLAGNY GLATIGNY 10 bis rue Pierre Lescot 78000 Versailles,maison-de-quartier.clagny-glatigny@versailles.fr,http://www.versailles.fr,21780646200016,0130978000
Centre social,CENTRE SOCIAL SARCELLES LOCHERES,95200,Sarcelles,CENTRE SOCIAL SARCELLES LOCHERES avenue Paul Valéry 95200 Sarcelles,centresocial.locheres@sarcelles.fr,http://www.sarcelles.fr,21950585600019,0134382140
Centre social,CENTRE SOCIAL MUNICIPAL LOUIS BRAILLE,77100,Meaux,CENTRE SOCIAL MUNICIPAL LOUIS BRAILLE 43 rue Louis Braille 77100 Meaux,kouider.elatrech@meaux.fr,www.ville-meaux.fr,217 702 844 00010,
Centre social,CENTRE SOCIAL SOLEIL BLAISE,75020,Paris 20e Arrondissement,CENTRE SOCIAL SOLEIL BLAISE 7 square Vitruve 75020 Paris 20e Arrondissement,direction@soleilblaise.org,http://www.soleilblaise.org,48155472300033,0144930072
Centre social,CENTRE SOCIAL AUGUSTIN SERRE,78711,Mantes-la-Ville,CENTRE SOCIAL AUGUSTIN SERRE 60 rue Louise Michel 78711 Mantes-la-Ville,jlopy@manteslaville.fr,http://www.manteslaville.fr/,21780362600019,0130985549
Centre social,CENTRE SOCIAL ET CULTUREL VALÉRIE MÉOT / ASSOCIATION MOSAIC,92000,Nanterre,CENTRE SOCIAL ET CULTUREL VALÉRIE MÉOT / ASSOCIATION MOSAIC 5 résidence des iris 92000 Nanterre,asso@cspn.fr,,78541528200041,
Centre social,CENTRE SOCIAL ET CULTUREL GEORGES MÉLIES,77230,Dammartin-en-Goële,CENTRE SOCIAL ET CULTUREL GEORGES MÉLIES 1 rue de l'hôtel dieu 77230 Dammartin-en-Goële,Centre.social@dammartin-en-goele.fr,http://0160545860,21770153100014,
Centre social,CENTRE SOCIAL ATOUTAGE,77176,Nandy,CENTRE SOCIAL ATOUTAGE Mairie de Nandy 77176 Nandy,m.cousin@nandy.fr,http://www.nandy.fr,21770326300012,0164192929
Centre social,MAISON DE QUARTIER NOTRE-DAME,78000,Versailles,"MAISON DE QUARTIER NOTRE-DAME 7, rue Sainte Sophie 78000 Versailles",maison-de-quartier.notre-dame@versailles.fr,http://www.versailles.fr,21780646200016,0130978000
Centre social,CENTRE SOCIAL TOUSSAREGO,75013,Paris 13e Arrondissement,CENTRE SOCIAL TOUSSAREGO 21 avenue Claude Régaud 75013 Paris 13e Arrondissement,laetitia.hery@caf75.caf.fr,,38099225500048,
Centre social,CENTRE SOCIAL PORCHEFONTAINE,78000,Versailles,CENTRE SOCIAL PORCHEFONTAINE 86 rue Yves Le Coz 78000 Versailles,thomas.gaudy@versailles.fr,http://www.versailles.fr,21780646200016,0130978000
Centre social,CENTRE SOCIAL 13 POUR TOUS,75013,Paris 13e Arrondissement,"CENTRE SOCIAL 13 POUR TOUS 4, Place de Vénétie 75013 Paris 13e Arrondissement",contact@13pourtous.org,http://www.13pourtous.org,489055319,0153799263
Centre social,Centre socioculturel Maurice Noguès,75014,Paris 14e Arrondissement,Centre socioculturel Maurice Noguès 1-7 avenue de la Porte de Vanves 75014 Paris 14e Arrondissement,cscmnogues.accueil@leolagrange.org,https://www.centresocioculturelmauricenogues.org/,351 713 532 00817,0145424646
Centre social,CENTRE SOCIAL LES CAMPANULES,95230,Soisy-sous-Montmorency,CENTRE SOCIAL LES CAMPANULES 19 rue de l'Egalité 95230 Soisy-sous-Montmorency,rudy.etienne@soisy-sous-montmorency.fr,http://www.soisy-sous-montmorency.fr,21950598900018,0134052000
Centre social,CENTRE SOCIOCULTUREL MARC SANGNIER,95500,Gonesse,CENTRE SOCIOCULTUREL MARC SANGNIER 17 place Marc Sangnier 95500 Gonesse,cssangnier@mairie-gonesse.fr,http://www.ville-gonesse.fr,21950277000015,0134451111
Centre social,MAISON DES QUARTIERS,77160,Provins,MAISON DES QUARTIERS place du Pré Botin 77160 Provins,direction.mqcs@mairie-provins.fr,http://www.mairie-provins.fr,217703792000010,0164603838
Centre social,CENTRE SOCIAL MAISON DE TOUS,78410,Aubergenville,CENTRE SOCIAL MAISON DE TOUS 51 rue du belvédère 78410 Aubergenville,maisondetous@aubergenville.fr,http://www.aubergenville.fr,21780029100015,0130904500
Centre social,CENTRE SOCIO-CULTUREL GUYNEMER,92320,Châtillon,CENTRE SOCIO-CULTUREL GUYNEMER 2 rue Guynemer 92320 Châtillon,accueil@guynemer92.fr,http://www.guynemer92.fr,34151999900013,0146569495
Centre social,CENTRE SOCIAL MUNICIPAL L'AGORA,78990,Élancourt,CENTRE SOCIAL MUNICIPAL L'AGORA 4 allée Guy Boniface 78990 Élancourt,myriam.dray@ville-elancourt.fr,http://ville-elancourt.fr,21780208100018,0130664444
Centre social,MAROC CHATENAY POETES (CSC),93200,Saint-Denis,MAROC CHATENAY POETES (CSC) 107 rue jules Chatenay 93200 Saint-Denis,tiphaine.yayon@saintdenis.fr,,92993941100013,
Centre social,Centre Socioculturel LAMARTINE,94230,Cachan,Centre Socioculturel LAMARTINE 4 square Lamartine 94230 Cachan,lamartine.direction@agaescc.fr,http://www.agaescc.fr,48875532300018,
Centre social,CENTRE SOCIAL CONJUGUE,95100,Argenteuil,CENTRE SOCIAL CONJUGUE 4 allée Elsa Triolet 95100 Argenteuil,accueil.cscassoconjugue@orange.fr,http://0786688083,37826228100033,
