GTIN;Code de la catégorie du produit;Nom produit;Marque principale;Marque secondaire;URL image 1;URL image 2;URL image 3;Description;Lien / URL;Valeur du contenu net;Unité de mesure du contenu net;MPN;SKU
3701835100015;10005814;Mankeel MK084;ezen;Mankeel MK084 orange;;;;;;5;PIECE;;
3701835100350;10005814;MINI WALKER TIGER 10 PRO+;mini-walker;;;;;Tiger 10 Pro+ de MiniWalker : La Trottinette Électrique Tout-Terrain d’Élite pour une Mobilité Extra-Urbaine Sans ÉgalDominez tous les terrains avec la Tiger 10 Pro+ de MiniWalker, l’innovation française qui redéfinit les attentes en matière de trottinettes électriques. Cette version évoluée offre une expérience de conduite haut de gamme, un design avant-gardiste et des fonctionnalités avancées, établissant de nouvelles normes dans la catégorie des trottinettes électriques sportives.Caractéristiques Distinctives :Conduite Confortable et Sûre : Les pneus à chambre à air de 10×3 pouces et les suspensions hydrauliques avant et arrière assurent une conduite douce, élevant le confort pour les citadins exigeants ou permettant une utilisation OFF-ROAD pour les plus téméraires.Puissance Redéfinie et Autonomie Exceptionnelle : Dotée de deux moteurs performants de 1200W, la Tiger 10 Pro+ excelle dans les montées raides. Sa batterie de 60V et 24 Ah offre une autonomie remarquable jusqu’à 75 km, assurant des trajets sans compromis à une vitesse moyenne de 25 km/h, extensible jusqu’à 85 km/h sur voies privées.Tout-Terrain et Robuste : Conçue pour une utilisation extra-urbaine, off-road et sportive, la Tiger 10 Pro+ est une trottinette puissante et robuste adaptée à tous les terrains.Esthétique Urbaine Avant-Gardiste : Arborant des nuances modernes de rouge et de noir, la Tiger 10 Pro+ se démarque avec des LED éclairant le plateau et le guidon, le tout paramétrable à l’aide d’une application BLUETOOTH. Son design est épuré et efficace pour rester passe-partout en ville et sportif sur voies privées.Sécurité Avancée : Avec ses clignotants, en passant par ses multiples lumières et au phare avec klaxon, chaque détail est pensé pour assurer une visibilité maximale, renforçant la sécurité à chaque trajet.Facilité de Transport : Malgré un poids de 35 kg, la Tiger 10 Pro+ reste;https://kamistreet.fr/product/mini-walker-tiger-10-pro;1;PIECE;;5105
3701835100428;10005814;SIGMA-MIHUNTER X02;Kami Street;;;;;Trottinette électrique longue autonomieMaîtrisez vos trajets quotidiens avec la Sigma X02, une puissante trottinette électrique pour adultes conçue pour les longues distances. Équipée d’une batterie lithium haute capacité de 48 V 18 Ah, cette trottinette offre une autonomie impressionnante allant jusqu’à 55 km sur une seule charge. Dites adieu aux soucis d’autonomie et déplacez-vous en toute confiance au travail, à l’école ou en ville sans craindre de tomber en panne d’énergie. Moteur puissant de 250 W pour les fortes pentesGrâce à son moteur robuste de 250 W, cette trottinette électrique pour adultes offre un couple généreux pour gérer les pentes et une conduite fluide et constante. Avec une vitesse maximale de 25 km/h, elle offre l’équilibre parfait entre puissance et contrôle pour une expérience de conduite sûre et palpitante à chaque trajet. Confort tout-terrain avec double suspensionProfitez d’une conduite remarquablement fluide sur toutes les surfaces. La Sigma X02 est dotée de suspensions avant et arrière avancées qui absorbent efficacement les bosses et les vibrations des routes accidentées. Équipée de pneus tubeless de 10 pouces, cette trottinette assure une stabilité et un confort supérieurs, ce qui en fait une trottinette électrique avec suspension idéale pour des trajets plus agréables et moins fatigants. Conduite en toute sécurité grâce aux doubles freins à disque et à l’éclairageVotre sécurité est notre priorité. Cette trottinette est équipée de freins à disque avant et arrière réactifs pour un freinage fiable par tous les temps. Dotée d’un éclairage avant et arrière puissant, elle vous assure une visibilité optimale lors de vos déplacements nocturnes. C’est l’ensemble complet d’une trottinette électrique sûre, conçue pour les déplacements urbains modernes. Conception pliable robuste pour un rangement facileConstruite en aluminium et en acie;https://kamistreet.fr/product/sigma-mihunter-x02;1;PIECE;;4326
3701835100367;10005814;Mankeel MX-25;mankeel;;;;;Trottinette électrique Mankeel MX-25 – Équipée d'un moteur de 1 200 W atteignant 55 km/h et d'une batterie lithium-ion 60 V 15,6 Ah offrant jusqu'à 55 km d'autonomie. Ses doubles suspensions hydrauliques et ses doubles freins à disque garantissent une conduite souple et maîtrisée sur tous les terrains. Ses pneus gonflables sous vide de 11 pouces assurent une excellente stabilité, tandis que son écran LED vous informe en temps réel. Certifiée IP54 et supportant une charge maximale de 120 kg, la MX-25 est prête pour toutes vos aventures urbaines.;https://kamistreet.fr/product/mankeel-mx-25;1;PIECE;;5101
3701835100329;10005815;Jobobike Transer – Vélo électrique cargo;jobobike;;;;;Le JOBOBIKE Transer est un vélo cargo électrique conçu pour les familles, les professionnels et les utilisateurs qui souhaitent transporter facilement des enfants, des courses ou du matériel. Son cadre long et abaissé améliore la stabilité, même lorsqu’il est chargé, tout en offrant une conduite fluide et confortable.Disponible avec une batterie LG 48 V – 15 Ah (720 Wh) ou un système à double batterie 48 V – 13 Ah (1 248 Wh), il peut atteindre jusqu’à 220 km d’autonomie annoncée selon la configuration et les conditions d’utilisation. Son moteur développant jusqu’à 65 N·m de couple assure une assistance efficace, limitée à 25 km/h.Avec une capacité de charge maximale de 200 kg, des freins hydrauliques avant et arrière et un porte-bagages arrière multifonction à fixation rapide, le Transer s’adapte facilement aux sorties en famille, aux courses et aux besoins de livraison. Un vélo cargo robuste, polyvalent et pensé pour les trajets du quotidien comme pour les longues distances.;https://kamistreet.fr/product/jobobike-transer-velo-electrique;1;PIECE;;4106
3701835100466;10005814;Trottinette électrique Emoko HVD-3;emoko;;https://lime-aardvark-343643.hostingersite.com/wp-content/uploads/2026/06/Trottinette-electrique-HVD-3-1-1.png;;;Découvrez le frisson de la vitesse avec la trottinette électrique Emoko HVD-3 de 10 pouces 15ah. Dotée de pneus à air, d'une suspension avant et arrière, et d'un moteur arrière sans balais de 800w, cette trottinette offre une conduite fluide et puissante.La batterie de 15ah offre une autonomie maximale de 45-50km sur une charge complète, idéale pour les trajets plus longs. De plus, le siège monté ajoute un niveau supplémentaire de confort et de commodité. Améliorez votre trajet quotidien avec cette trottinette électrique haute performance !Caractéristiques principales :Moteur de 800w pour une accélération puissante, vitesse maximale de 45-50km/hBatterie de 48v 15ah pour de plus longues distancesLumière LED et frein à disque fiable pour une sécurité accrueConduite confortable avec siège et pneus en nid d'abeilleSécurité avec une fonction de verrouillage par cléIdéale pour une utilisation quotidienne rigoureuse et les longs trajetsIdéale pour :Cette trottinette électrique est idéale pour les navetteurs urbains recherchant une conduite puissante, sûre et confortable pour les trajets quotidiens et les longues distances.SKU : ESC-HVD-000Veuillez noter que les trottinettes électriques privées ne peuvent pas être utilisées sur les voies publiques (routes/trottoirs) et ne peuvent être utilisées que sur des propriétés privées avec le consentement du propriétaire. Un équipement de protection approprié doit être porté en tout temps.;https://kamistreet.fr/product/trottinette-electrique-emoko-hvd-3;1;PIECE;;4003
3701835100169;10005815;Emoko EC27 – Fatbike électrique;emoko;;https://lime-aardvark-343643.hostingersite.com/wp-content/uploads/2025/12/ChatGPT-Image-3-juin-2026-10_35_52.png;https://lime-aardvark-343643.hostingersite.com/wp-content/uploads/2025/12/emoko-ec27-velo-electrique-tout-terrain.png;https://lime-aardvark-343643.hostingersite.com/wp-content/uploads/2025/12/emoko-ec27-puissance-maitrisee.png;Offre un pédalage plus fluide et une consommation d’énergie réduite. Léger et robuste, il facilite tous vos trajets. Équipé de freins à disque avant et arrière pour un freinage fiable. Son moteur de 250 W, associé à une double batterie 48 V 15 Ah, offre jusqu’à 150 km d’autonomie. Pesant 28 kg et supportant jusqu’à 150 kg, il est idéal pour différents utilisateurs et charges.;https://kamistreet.fr/product/emoko-ec27-velo-electrique;1;PIECE;;3935
3701835100299;10005814;JOYOR T10;joyor;;https://lime-aardvark-343643.hostingersite.com/wp-content/uploads/2026/06/joyor-t10-ecran-lcd-intelligent.png;https://lime-aardvark-343643.hostingersite.com/wp-content/uploads/2026/06/joyor-t10-suspension-integrale.png;https://lime-aardvark-343643.hostingersite.com/wp-content/uploads/2026/06/joyor-t10-trottinette-electrique-presentation.png;Puissance, maîtrise et confort sur les terrains exigeantsLa Joyor T10 est conçue pour les utilisateurs qui recherchent une trottinette robuste, stable et capable d’accompagner les sorties de longue distance.Ses deux moteurs de 1 000 W, sa suspension avant et arrière et ses pneus tout-terrain de 10 pouces offrent une conduite plus confortable sur les surfaces irrégulières. Les freins à disque hydrauliques apportent une réponse progressive et efficace.Points clés : batterie 60 V – 18 Ah, autonomie annoncée jusqu’à 75 km, charge maximale de 120 kg, écran couleur et éclairage complet.Un modèle performant destiné aux utilisateurs expérimentés et aux espaces adaptés.;https://kamistreet.fr/product/joyor-t10;1;PIECE;;4328
3701835100039;10005815;Ezen OX – Fatbike électrique;ezen;;;;;E-ZEN OX — Fatbike électrique puissant et tout suspenduL’E-ZEN OX est un fatbike électrique robuste conçu pour les loisirs, les chemins et les terrains privés. Son moteur arrière développe jusqu’à 1 500 W en puissance maximale, tandis que sa batterie amovible 48 V – 25 Ah offre une autonomie annoncée de 90 à 130 km en mode assistance, selon le relief, la charge et les conditions d’utilisation. Ses pneus larges tout-terrain de 20 pouces, sa suspension avant et arrière et sa selle confortable assurent une conduite stable sur les surfaces irrégulières. Il dispose également de freins à disque mécaniques, d’une transmission Shimano à 7 vitesses, d’un éclairage LED complet, de garde-boue et d’un porte-bagages. Sa capacité de charge maximale annoncée atteint 150 kg. Ce modèle pouvant atteindre environ 40 à 45 km/h, son utilisation est réservée aux terrains privés fermés à la circulation publique, sauf homologation spécifique.;https://kamistreet.fr/product/velo-electrique-ezen-ox;1;PIECE;;4110
3701835100336;10005814;Joyor E6-S;joyor;;;;;La Trottinette Électrique Joyor E6-S est conçue pour ceux qui recherchent l'aventure extrême et l'adrénaline. Avec ses moteurs doubles de 1600W, sa suspension avancée et ses freins hydrauliques, elle offre une puissance inégalée, une vitesse et une précision exceptionnelles. Conçue pour des balades palpitantes, son autonomie de 85 km garantit une expérience haute performance inoubliable.? Autonomie jusqu'à 85 km? Puissance double moteur 1600W*2? Vitesse maximale de 70 km/h? Freins hydrauliques avant et arrière? Suspension double avant et arrière? Pneus à air de 11 pouces pour un confort supérieur;https://kamistreet.fr/product/joyor-e6-s;1;PIECE;;5103
